Диван (светлая кожа) 900*2040*930 1013625666367;410136112015000067;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;131 120,00;Бюджет;129 559,05;1,19;1,19;84
Диван (светлая кожа) 900*2040*930 1013625666368;410136112015000068;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;131 120,00;Бюджет;129 559,05;1,19;1,19;84
Диван (светлая кожа) 900*2040*930 1013625666373;410136112015000069;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;131 120,00;Бюджет;129 559,05;1,19;1,19;84
Диван (светлая кожа) 900*2040*930 1013625666375;410136112015000070;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;131 120,00;Бюджет;129 559,05;1,19;1,19;84
Диван (светлая кожа) 900*2040*930 1013625666376;410136112015000071;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;131 120,00;Бюджет;129 559,05;1,19;1,19;84
Диван (светлая кожа) 900*2040*930 1013625666382;410136112015000072;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;131 120,00;Бюджет;129 559,05;1,19;1,19;84
Диван (светлая кожа) 900*2040*930 1013625666383;410136112015000073;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;131 120,00;Бюджет;129 559,05;1,19;1,19;84
Диван (светлая кожа) 900*2040*930 1013625666386;410136112015000074;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;131 120,00;Бюджет;129 559,05;1,19;1,19;84
Диван (светлая кожа) 900*2040*930 1013625666387;410136112015000075;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;131 120,00;Бюджет;129 559,05;1,19;1,19;84
Диван (светлая кожа) 900*2040*930 1013625666388;410136112015000076;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;131 120,00;Бюджет;129 559,05;1,19;1,19;84
Диван (светлая кожа) 900*2040*930 1013625666389;410136112015000077;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;131 120,00;Бюджет;129 559,05;1,19;1,19;84
Диван (светлая кожа) 900*2040*930 1013625666390;410136112015000078;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;131 120,00;Бюджет;129 559,05;1,19;1,19;84
Диван (светлая кожа) 900*2040*930 1013625666391;410136112015000079;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;131 120,00;Бюджет;129 559,05;1,19;1,19;84
Диван (темно-коричневый) 730*1790*761;410136112015001255;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;114 866,35;Бюджет;113 498,89;1,19;1,19;84
Диван (темно-коричневый) 730*1790*761;410136112015001256;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;114 866,35;Бюджет;113 498,89;1,19;1,19;84
Диван (темно-коричневый) 730*1790*761;410136112015001260;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;114 866,35;Бюджет;113 498,89;1,19;1,19;84
Диван (темно-коричневый) 730*1790*761;410136112015001257;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;114 866,35;Бюджет;113 498,89;1,19;1,19;84
Диван (темно-коричневый) 730*1790*761;410136112015001262;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;114 866,35;Бюджет;113 498,89;1,19;1,19;84
Диван (темно-коричневый) 730*1790*761;410136112015001259;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;114 866,35;Бюджет;113 498,89;1,19;1,19;84
Диван (темно-коричневый) 730*1790*761;410136112015001261;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;114 866,35;Бюджет;113 498,89;1,19;1,19;84
Диван (темно-коричневый) 730*1790*761;410136112015001258;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;114 866,35;Бюджет;113 498,89;1,19;1,19;84
Диван (темно-коричневый) 730*1790*761;410136112015001254;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;114 866,35;Бюджет;113 498,89;1,19;1,19;84
Диван 700*1300*700 двухместный в соврем.стиле на метал.каркасе;410136092015000222;13.11.2015;13.11.2015;Особо ценное движимое имущество;16 3612441;243 918,90;Бюджет;241 015,10;1,19;1,19;84
Диван 700*1300*700 двухместный в соврем.стиле на метал.каркасе;410136092015000231;13.11.2015;13.11.2015;Особо ценное движимое имущество;16 3612441;243 918,90;Бюджет;241 015,10;1,19;1,19;84
Диван 700*1300*700 двухместный в соврем.стиле на метал.каркасе;410136092015000232;13.11.2015;13.11.2015;Особо ценное движимое имущество;16 3612441;243 918,90;Бюджет;241 015,10;1,19;1,19;84
Диван 700*1300*700 двухместный в соврем.стиле на метал.каркасе;410136092015000233;13.11.2015;13.11.2015;Особо ценное движимое имущество;16 3612441;243 918,90;Бюджет;241 015,10;1,19;1,19;84
Диван 700*1300*700 двухместный в соврем.стиле на метал.каркасе;410136092015000223;13.11.2015;13.11.2015;Особо ценное движимое имущество;16 3612441;243 918,90;Бюджет;241 015,10;1,19;1,19;84
Диван 700*1300*700 двухместный в соврем.стиле на метал.каркасе;410136092015000224;13.11.2015;13.11.2015;Особо ценное движимое имущество;16 3612441;243 918,90;Бюджет;241 015,10;1,19;1,19;84
Диван 700*1300*700 двухместный в соврем.стиле на метал.каркасе;410136092015000226;13.11.2015;13.11.2015;Особо ценное движимое имущество;16 3612441;243 918,90;Бюджет;241 015,10;1,19;1,19;84
Диван 700*1300*700 двухместный в соврем.стиле на метал.каркасе;410136092015000225;13.11.2015;13.11.2015;Особо ценное движимое имущество;16 3612441;243 918,90;Бюджет;241 015,10;1,19;1,19;84
Диван 700*1300*700 двухместный в соврем.стиле на метал.каркасе;410136092015000227;13.11.2015;13.11.2015;Особо ценное движимое имущество;16 3612441;243 918,90;Бюджет;241 015,10;1,19;1,19;84
Диван 700*1300*700 двухместный в соврем.стиле на метал.каркасе;410136092015000228;13.11.2015;13.11.2015;Особо ценное движимое имущество;16 3612441;243 918,90;Бюджет;241 015,10;1,19;1,19;84
Диван 700*1300*700 двухместный в соврем.стиле на метал.каркасе;410136092015000229;13.11.2015;13.11.2015;Особо ценное движимое имущество;16 3612441;243 918,90;Бюджет;241 015,10;1,19;1,19;84
Диван 700*1300*700 двухместный в соврем.стиле на метал.каркасе;410136092015000230;13.11.2015;13.11.2015;Особо ценное движимое имущество;16 3612441;243 918,90;Бюджет;241 015,10;1,19;1,19;84
Диван 830*2200*830;410136112015001241;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;121 288,20;Бюджет;119 844,29;1,19;1,19;84
Диван 940*1520*760 на деревянной раме;410136092015000251;13.11.2015;13.11.2015;Особо ценное движимое имущество;16 3612441;216 792,58;Бюджет;214 211,72;1,19;1,19;84
Диван кожаный 880*1750*930 1013625662949;410136112015000163;20.11.2015;20.11.2015;Особо ценное движимое имущество;16 3612441;261 059,88;Бюджет;257 952,02;1,19;1,19;84
Духовка электрическая 592*597*548 1013625663966;410136092015000463;13.11.2015;13.11.2015;Особо ценное движимое имущество;14 2925520;78 200,00;Бюджет;77 548,33;0,83;0,83;120
Кресло (бежевое)730*730*760;410136112015001276;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (бежевое)730*730*760;410136112015001279;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (бежевое)730*730*760;410136112015001281;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (бежевое)730*730*760;410136112015001277;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (бежевое)730*730*760;410136112015001272;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (бежевое)730*730*760;410136112015001270;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (бежевое)730*730*760;410136112015001278;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (бежевое)730*730*760;410136112015001273;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (бежевое)730*730*760;410136112015001271;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (бежевое)730*730*760;410136112015001274;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (бежевое)730*730*760;410136112015001280;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (бежевое)730*730*760;410136112015001275;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666400;410136112015000080;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666402;410136112015000081;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666404;410136112015000082;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666408;410136112015000083;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666409;410136112015000084;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666412;410136112015000085;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666413;410136112015000086;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666416;410136112015000087;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666418;410136112015000088;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666419;410136112015000089;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666421;410136112015000090;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666422;410136112015000091;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666423;410136112015000092;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666425;410136112015000093;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666426;410136112015000094;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666429;410136112015000095;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666434;410136112015000096;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666438;410136112015000097;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666439;410136112015000098;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666440;410136112015000099;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666441;410136112015000100;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666443;410136112015000101;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666444;410136112015000102;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666445;410136112015000103;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666447;410136112015000104;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666449;410136112015000105;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666450;410136112015000106;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666451;410136112015000107;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666453;410136112015000108;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
